label,name,code
SYMPTOM,Tê bì hai chi dưới,
SYMPTOM,Tê yếu nửa người thoáng qua,
SYMPTOM,Tổn thương da dạng vành cung có bờ viền rõ,
SYMPTOM,Viêm ngứa,
SYMPTOM,Vàng da,
SYMPTOM,Vòng kinh kéo dài,
SYMPTOM,ho,
SYMPTOM,sốt,
SYMPTOM,Đau bụng,
SYMPTOM,Đau bụng vùng hố chậu phải,
SYMPTOM,Đau dữ dội,
SYMPTOM,Đau họng,
SYMPTOM,Đau khớp,
SYMPTOM,Đau nhói khớp vai khi giơ tay lên cao,
SYMPTOM,Đau nhói vùng cột sống,
SYMPTOM,Đau nhói vùng thắt lưng,
SYMPTOM,Đau nhức âm ỉ vùng cột sống thắt lưng,
SYMPTOM,Đau quặn bụng,
SYMPTOM,Đau quặn bụng vùng quanh rốn,
SYMPTOM,Đau quặn hố chậu phải,
SYMPTOM,Đau quặn thận bên phải,
SYMPTOM,Đau quặn thận trái,
SYMPTOM,Đau rát họng,
SYMPTOM,Đau thượng vị,
SYMPTOM,Đau thần kinh tọa,
SYMPTOM,Đau thắt lưng,
SYMPTOM,Đau tăng khi vận động,
SYMPTOM,Đau tức hạ vị,
SYMPTOM,Đau tức ngực âm ỉ,
SYMPTOM,Đau âm ỉ vùng hố chậu phải,
SYMPTOM,Đau đầu,
SYMPTOM,Đau đầu dữ dội theo mạch đập ở một bên thái dương,
SYMPTOM,Đau đầu vùng chẩm,
SYMPTOM,Đi ngoài 5 lần/ngày,
SYMPTOM,Đi ngoài phân lỏng,
SYMPTOM,Đờm trắng,
SYMPTOM,Ợ chua,
SYMPTOM,ợ nóng,
